,Gender,Age,Occupation,Zip-code,Gender_enc,Age_enc,Occupation_enc,Zip-code_enc
702,M,35,7,90808,1,3,7,2816
703,F,56,1,44074,0,6,1,1418
704,F,35,8,85712,0,3,8,2674
705,M,25,4,48065,1,2,4,1587
706,M,35,20,78664,1,3,20,2478
707,M,35,7,17740,1,3,7,681
708,M,25,0,37042,1,2,0,1280
709,M,18,0,92647,1,1,0,2965
710,M,25,20,85207,1,2,20,2644
711,M,25,18,80521,1,2,18,2562
712,M,25,0,95136,1,2,0,3179
713,M,35,7,79912,1,3,7,2514
714,M,18,4,76013,1,1,4,2368
715,M,18,0,53715,1,1,0,1797
716,M,18,4,98188,1,1,4,3377
717,M,25,11,90211,1,2,11,2772
718,M,18,2,90211,1,1,2,2772
719,M,1,0,75070,1,0,0,2336
720,M,18,0,55129,1,1,0,1875
721,F,35,9,97520,0,3,9,3320
722,M,25,12,55106,1,2,12,1853
723,M,25,12,98027,1,2,12,3332
724,M,50,13,90266,1,5,13,2783
725,M,56,11,08904,1,6,11,392
726,F,25,9,77449,0,2,9,2428
727,M,35,11,94061,1,3,11,3042
728,M,25,6,11598,1,2,6,498
729,M,35,12,85284,1,3,12,2661
730,M,25,0,10580,1,2,0,445
731,M,45,3,55410,1,4,3,1905
732,M,25,7,07030,1,2,7,307
733,M,35,16,30034,1,3,16,1062
734,M,25,7,90078,1,2,7,2770
735,M,25,14,04240,1,2,14,232
736,M,18,12,07070,1,1,12,313
737,M,1,19,53711,1,0,19,1794
738,M,18,17,99205,1,1,17,3425
739,M,35,12,55803,1,3,12,1943
740,M,25,14,24551,1,2,14,950
741,M,25,5,44095,1,2,5,1422
742,M,18,0,54758,1,1,0,1820
743,F,1,2,60660,0,0,2,2094
744,M,25,17,77007,1,2,17,2394
745,M,1,10,90004,1,0,10,2739
746,F,18,19,95019,0,1,19,3155
747,M,18,4,98606,1,1,4,3403
748,M,25,0,60098,1,2,0,2020
749,M,35,18,56303,1,3,18,1961
750,F,35,9,13066,0,3,9,565
751,F,25,17,97201,0,2,17,3281
752,F,25,3,97401,0,2,3,3312
753,M,1,10,42754,1,0,10,1375
754,M,35,7,38024,1,3,7,1322
755,F,35,0,94002,0,3,0,3030
756,M,35,0,90064,1,3,0,2765
757,M,25,12,97401,1,2,12,3312
758,M,35,7,19518,1,3,7,760
759,F,56,3,89156,0,6,3,2726
760,M,56,15,94114,1,6,15,3060
761,M,18,7,99945,1,1,7,3438
762,M,1,10,63041,1,0,10,2138
763,M,18,10,02882,1,1,10,175
764,M,18,20,85296,1,1,20,2664
765,M,25,17,74467,1,2,17,2320
766,F,25,7,95128,0,2,7,3176
767,M,25,12,45241,1,2,12,1493
768,M,25,12,17067,1,2,12,674
769,M,45,17,02421,1,4,17,131
770,M,18,4,98499,1,1,4,3397
771,F,50,1,75087,0,5,1,2341
772,M,18,12,89118,1,1,12,2717
773,M,25,6,48108,1,2,6,1603
774,M,18,4,22903,1,1,4,904
775,M,1,17,56258,1,0,17,1959
776,F,25,3,92627,0,2,3,2961
777,M,18,19,87543,1,1,19,2697
778,M,18,17,32694,1,1,17,1158
779,M,25,0,60156,1,2,0,2031
780,M,25,17,91776,1,2,17,2877
781,M,18,4,95076,1,1,4,3166
782,M,56,1,28223,1,6,1,1009
783,M,25,4,53703,1,2,4,1789
784,M,18,0,11040,1,1,0,462
785,M,18,19,29307,1,1,19,1034
786,M,25,0,55987,1,2,0,1951
787,M,18,4,77802,1,1,4,2446
788,M,25,0,37601,1,2,0,1295
789,M,18,1,67212,1,1,1,2222
790,M,25,17,45694,1,2,17,1515
791,M,35,7,27511,1,3,7,975
792,M,25,17,01002,1,2,17,7
793,F,35,14,37043,0,3,14,1281
794,M,50,20,10543,1,5,20,441
795,F,35,14,19147,0,3,14,736
796,M,50,6,98237,1,5,6,3384
797,F,50,7,20175,0,5,7,795
798,F,25,20,48464,0,2,20,1658
799,F,25,5,98498,0,2,5,3396
800,F,35,12,72032,0,3,12,2273
801,F,25,20,95776,0,2,20,3219
802,M,25,16,22801,1,2,16,899
803,M,18,4,67217,1,1,4,2223
804,M,25,20,90032,1,2,20,2753
805,M,35,12,37211,1,3,12,1290
806,M,35,0,34990,1,3,0,1258
807,M,18,4,89015,1,1,4,2707
808,M,25,7,85226,1,2,7,2649
809,M,25,17,70508,1,2,17,2259
810,M,25,12,98006,1,2,12,3327
811,M,50,0,94043,1,5,0,3040
812,M,25,6,37930,1,2,6,1317
813,M,18,4,70002,1,1,4,2243
814,F,18,4,92612,0,1,4,2954
815,M,25,4,37130,1,2,4,1284
816,M,45,0,92108,1,4,0,2917
817,M,18,4,41076,1,1,4,1362
818,M,18,4,60107,1,1,4,2023
819,M,35,7,60611,1,3,7,2075
820,M,35,7,78759,1,3,7,2500
821,M,18,2,14456,1,1,2,611
822,F,25,1,07666,0,2,1,334
823,M,25,0,92078,1,2,0,2908
824,M,35,12,94530,1,3,12,3096
825,M,56,1,39532,1,6,1,1338
826,F,35,1,80210,0,3,1,2540
827,M,45,2,55409,1,4,2,1904
828,M,18,4,70817,1,1,4,2266
829,M,1,19,53711,1,0,19,1794
830,M,35,7,60657,1,3,7,2092
831,F,45,0,20874,0,4,0,821
832,M,18,2,19464,1,1,2,757
833,M,35,7,46825,1,3,7,1562
834,F,35,12,78640,0,3,12,2476
835,M,56,0,94952,1,6,0,3147
836,M,25,11,10023,1,2,11,416
837,M,56,7,08540,1,6,7,370
838,M,50,17,92661,1,5,17,2970
839,M,25,0,98103,1,2,0,3352
840,F,25,3,02828,0,2,3,169
841,F,50,14,92119,0,5,14,2923
842,F,18,0,55102,0,1,0,1848
843,M,25,7,49321,1,2,7,1685
844,M,25,0,92121,1,2,0,2925
845,F,18,0,20009,0,1,0,778
846,M,25,5,80209,1,2,5,2539
847,F,25,7,80228,0,2,7,2546
848,M,25,15,94121,1,2,15,3066
849,M,25,3,75006,1,2,3,2324
850,M,35,0,60640,1,3,0,2087
851,M,18,4,75287,1,1,4,2359
852,M,25,5,92105,1,2,5,2914
853,M,25,17,55447,1,2,17,1934
854,F,25,16,44092,0,2,16,1421
855,F,18,2,72701,0,1,2,2283
856,F,45,6,02453,0,4,6,137
857,M,35,17,11701,1,3,17,499
858,M,35,14,10013,1,3,14,407
859,M,25,12,10128,1,2,12,428
860,M,18,0,78237,1,1,0,2464
861,M,25,7,37027,1,2,7,1278
862,M,35,7,10019,1,3,7,412
863,M,25,7,62522,1,2,7,2127
864,F,25,0,97205,0,2,0,3284
865,M,35,1,91711,1,3,1,2869
866,M,1,10,08820,1,0,10,380
867,M,45,12,95814,1,4,12,3220
868,M,50,17,01702-7224,1,5,17,46
869,M,18,20,92026,1,1,20,2897
870,F,25,1,02144,0,2,1,109
871,M,1,10,76013,1,0,10,2368
872,M,50,1,20815,1,5,1,814
873,M,56,6,19027,1,6,6,707
874,M,45,15,26105,1,4,15,956
875,M,1,10,94707,1,0,10,3131
876,M,25,4,43202,1,2,4,1384
877,M,25,0,90631,1,2,0,2804
878,M,18,2,01720,1,1,2,47
879,M,45,16,92018,1,4,16,2892
880,M,35,17,94114,1,3,17,3060
881,M,18,14,76401,1,1,14,2386
882,M,18,2,01720,1,1,2,47
883,F,35,14,92673,0,3,14,2972
884,M,1,10,49454,1,0,10,1696
885,M,35,0,48105,1,3,0,1601
886,F,56,0,14830,0,6,0,629
887,F,56,16,55345,0,6,16,1888
888,F,1,10,08820,0,0,10,380
889,M,45,20,10024,1,4,20,417
890,M,18,4,92153,1,1,4,2932
891,M,25,1,80202,1,2,1,2534
892,M,35,0,76031,1,3,0,2371
893,F,50,6,85016,0,5,6,2633
894,M,18,4,31602,1,1,4,1122
895,M,50,1,34683,1,5,1,1251
896,M,18,15,94015,1,1,15,3033
897,M,25,6,92130,1,2,6,2930
898,M,25,7,77005,1,2,7,2392
899,F,25,1,30605,0,2,1,1107
900,F,56,13,90066,0,6,13,2767
901,F,56,0,92027,0,6,0,2898
902,M,56,0,45432,1,6,0,1510
903,M,56,13,75165,1,6,13,2348
904,M,35,20,92308,1,3,20,2937
905,F,45,12,28655,0,4,12,1021
906,M,1,10,71106,1,0,10,2267
907,F,45,6,92117,0,4,6,2922
908,F,50,1,92103,0,5,1,2912
909,M,45,7,92831,1,4,7,2989
910,F,50,0,98226,0,5,0,3382
911,M,50,0,98226,1,5,0,3382
912,F,35,2,91324,0,3,2,2839
913,M,25,0,20744-6223,1,2,0,809
914,F,35,9,30338,0,3,9,1098
915,M,25,7,72762,1,2,7,2286
916,F,25,1,92084,0,2,1,2909
917,M,50,6,92117,1,5,6,2922
918,F,45,1,91901,0,4,1,2883
919,F,35,1,92056,0,3,1,2903
920,M,18,4,92173,1,1,4,2934
921,M,25,17,92084,1,2,17,2909
922,M,56,16,48009,1,6,16,1581
923,M,25,7,37212,1,2,7,1291
924,M,50,17,98642,1,5,17,3408
925,F,35,3,48073,0,3,3,1591
926,M,1,10,07869,1,0,10,343
927,F,25,20,91105,0,2,20,2826
928,F,56,16,98199,0,6,16,3378
929,M,25,15,53706,1,2,15,1792
930,M,25,5,98380,1,2,5,3390
931,F,56,1,06032,0,6,1,256
932,F,35,6,97838,0,3,6,3324
933,M,45,1,49419,1,4,1,1691
934,F,35,7,97401,0,3,7,3312
935,M,35,14,60538,1,3,14,2062
936,M,18,4,34567,1,1,4,1247
937,M,25,15,60513,1,2,15,2058
938,F,25,1,01060,0,2,1,13
939,F,25,20,20110-5616,0,2,20,785
940,M,1,10,76240,1,0,10,2382
941,M,18,20,45387,1,1,20,1506
942,F,50,6,85716,0,5,6,2675
943,F,45,12,08033,0,4,12,354
944,M,35,0,91505,1,3,0,2862
945,M,45,7,49345,1,4,7,1687
946,M,35,7,48103-8929,1,3,7,1599
947,M,18,0,21015,1,1,0,834
948,M,56,12,43056,1,6,12,1378
949,M,50,17,96753,1,5,17,3248
950,M,35,7,21044,1,3,7,838
951,M,45,2,10009,1,4,2,403
952,M,56,16,97478,1,6,16,3319
953,M,50,20,97030,1,5,20,3269
954,F,25,0,21030,0,2,0,836
955,F,50,7,94941,0,5,7,3144
956,M,35,1,55104,1,3,1,1851
957,M,35,1,29706,1,3,1,1052
958,M,35,2,48116,1,3,2,1606
959,M,50,11,44622,1,5,11,1467
960,M,1,10,45244,1,0,10,1496
961,M,18,10,10016,1,1,10,409
962,F,25,1,80020,0,2,1,2524
963,M,25,0,48197,1,2,0,1624
964,M,25,7,94123,1,2,7,3068
965,M,56,7,10954,1,6,7,456
966,M,56,2,92262,1,6,2,2935
967,F,18,0,43615,0,1,0,1410
968,M,50,12,94530,1,5,12,3096
969,F,25,11,19103,0,2,11,720
970,M,25,0,27615,1,2,0,990
971,M,25,12,43615,1,2,12,1410
972,M,45,1,02138,1,4,1,103
973,F,25,1,80026,0,2,1,2526
974,M,35,19,94930,1,3,19,3140
975,M,35,0,98136,1,3,0,3370
976,M,35,14,89113,1,3,14,2714
977,M,25,2,80110,1,2,2,2528
978,M,18,0,19116,1,1,0,726
979,M,1,10,48073,1,0,10,1591
980,M,25,6,92014,1,2,6,2891
981,M,25,20,02141,1,2,20,106
982,F,25,9,92064,0,2,9,2904
983,F,25,16,99224,0,2,16,3427
984,M,50,16,92129,1,5,16,2929
985,M,25,4,32608,1,2,4,1155
986,F,56,0,19004,0,6,0,702
987,F,35,17,48098,0,3,17,1596
988,M,50,11,48823,1,5,11,1665
989,M,50,0,20706,1,5,0,802
990,M,18,6,10004,1,1,6,401
991,F,25,9,48103,0,2,9,1597
992,F,35,3,02780,0,3,3,165
993,M,25,0,45678,1,2,0,1514
994,M,18,2,92109,1,1,2,2918
995,F,18,4,96803,0,1,4,3252
996,M,25,17,98102,1,2,17,3351
997,M,1,19,15748,1,0,19,657
998,M,45,20,10019,1,4,20,412
999,M,25,15,62558,1,2,15,2128
1000,F,25,6,90027,0,2,6,2749
1001,M,25,4,90210,1,2,4,2771
1002,M,50,11,07043,1,5,11,310
1003,M,25,2,19320,1,2,2,741
1004,M,25,3,95136,1,2,3,3179
1005,M,35,11,08003,1,3,11,350
1006,M,18,4,53220,1,1,4,1775
1007,M,50,12,01960,1,5,12,76
1008,M,35,3,77064,1,3,3,2412
1009,M,50,7,48315,1,5,7,1640
1010,M,25,0,10310,1,2,0,430
1011,M,25,8,92115,1,2,8,2920
1012,F,35,1,30004,0,3,1,1056
1013,M,56,13,02576,1,6,13,155
1014,F,45,17,03054,0,4,17,185
1015,M,35,3,11220,1,3,3,476
1016,M,56,16,60044,1,6,16,2002
1017,M,35,0,30906,1,3,0,1115
1018,M,18,4,95616,1,1,4,3209
1019,M,35,1,60640,1,3,1,2087
1020,M,18,20,93455,1,1,20,3016
1021,M,35,0,94559,1,3,0,3105
1022,M,25,3,00918,1,2,3,4
1023,M,56,13,92675,1,6,13,2973
1024,F,35,1,74135,0,3,1,2314
1025,M,25,16,34677,1,2,16,1250
1026,F,45,0,19130,0,4,0,731
1027,M,18,4,77005,1,1,4,2392
1028,F,45,7,03848,0,4,7,210
1029,M,25,0,20015,1,2,0,779
1030,M,25,7,97303,1,2,7,3301
1031,M,35,16,19803,1,3,16,767
1032,M,50,16,19425,1,5,16,753
1033,M,25,5,60076,1,2,5,2015
1034,F,35,1,82601,0,3,1,2589
1035,M,18,2,15956,1,1,2,659
1036,M,35,7,28036,1,3,7,1000
1037,M,45,7,02081,1,4,7,86
1038,F,56,15,20194,0,6,15,797
1039,F,35,1,02346,0,3,1,126
1040,M,25,11,76309,1,2,11,2385
1041,M,45,2,94306,1,4,2,3078
1042,M,35,5,92801,1,3,5,2983
1043,F,50,11,87004,0,5,11,2685
1044,M,25,20,72701,1,2,20,2283
1045,F,1,10,77477,0,0,10,2431
1046,M,56,18,53404-1230,1,6,18,1781
1047,M,18,0,62225,1,1,0,2123
1048,M,35,6,75225,1,3,6,2353
1049,M,45,14,95002,1,4,14,3150
1050,M,25,1,97302,1,2,1,3300
1051,F,25,0,60513,0,2,0,2058
1052,F,35,2,75214,0,3,2,2352
1053,M,35,0,18360,1,3,0,694
1054,M,1,10,75040,1,0,10,2330
1055,M,35,0,91505,1,3,0,2862
1056,M,1,0,48133,1,0,0,1611
1057,M,45,17,73069,1,4,17,2294
1058,M,25,1,97321,1,2,1,3302
1059,F,25,0,97213,0,2,0,3290
1060,M,18,10,11235,1,1,10,480
1061,M,45,0,46060,1,4,0,1524
1062,M,50,19,59457,1,5,19,1986
1063,M,35,7,50265,1,3,7,1724
1064,M,25,7,91344,1,2,7,2845
1065,F,25,0,94402,0,2,0,3081
1066,M,45,12,02151,1,4,12,114
1067,M,35,12,94402,1,3,12,3081
1068,F,18,4,77581,0,1,4,2440
1069,M,25,20,98105,1,2,20,3353
1070,F,45,2,20036,0,4,2,781
1071,M,50,16,13045,1,5,16,562
1072,F,35,7,07601,0,3,7,327
1073,F,25,6,72211,0,2,6,2277
1074,M,45,17,48073,1,4,17,1591
1075,F,25,6,60660,0,2,6,2094
1076,F,25,3,27606,0,2,3,985
1077,M,25,3,60660,1,2,3,2094
1078,F,45,9,95661,0,4,9,3211
1079,M,25,7,98115,1,2,7,3360
1080,M,56,7,08854,1,6,7,386
1081,M,18,4,68144-2410,1,1,4,2234
1082,M,45,7,48170,1,4,7,1618
1083,M,56,0,27705,1,6,0,992
1084,M,1,19,03226,1,0,19,192
1085,M,25,7,34695,1,2,7,1253
1086,M,18,4,98225,1,1,4,3381
1087,M,25,16,08826,1,2,16,383
1088,F,1,10,98103,0,0,10,3352
1089,M,35,6,37853,1,3,6,1305
1090,M,25,7,94105,1,2,7,3053
1091,M,18,5,345567,1,1,5,1246
1092,F,18,4,49525,0,1,4,1707
1093,M,50,14,60504,1,5,14,2055
1094,F,18,0,92626,0,1,0,2960
1095,F,56,6,08753,0,6,6,375
1096,M,1,10,80439,1,0,10,2557
1097,M,18,17,92109,1,1,17,2918
1098,M,35,7,94945,1,3,7,3145
1099,M,25,17,77059,1,2,17,2411
1100,M,25,0,60090,1,2,0,2018
1101,M,35,1,06417,1,3,1,278
1102,M,18,1,55408,1,1,1,1903
1103,F,45,7,60605,0,4,7,2071
1104,M,35,11,10023,1,3,11,416
1105,M,35,6,48105,1,3,6,1601
1106,M,18,4,90241,1,1,4,2777
1107,F,50,1,02324,0,5,1,123
1108,M,56,1,93003,1,6,1,3000
1109,M,18,10,45904,1,1,10,1521
1110,F,56,6,77005,0,6,6,2392
1111,F,50,16,44319,0,5,16,1453
1112,M,18,6,19104,1,1,6,721
1113,M,18,4,97215,1,1,4,3292
1114,F,18,9,75801,0,1,9,2366
1115,F,25,1,60551,0,2,1,2065
1116,M,25,15,92121,1,2,15,2925
1117,M,18,14,10017,1,1,14,410
1118,M,50,13,02718,1,5,13,160
1119,M,35,1,90504,1,3,1,2798
1120,M,18,4,95616,1,1,4,3209
1121,M,56,7,78701,1,6,7,2481
1122,M,56,14,02632,1,6,14,157
1123,M,50,0,91789,1,5,0,2879
1124,M,25,2,60156,1,2,2,2031
1125,F,18,4,53715,0,1,4,1797
1126,M,56,16,13031,1,6,16,558
1127,M,25,0,11788,1,2,0,511
1128,M,25,1,72701,1,2,1,2283
1129,M,35,17,22309,1,3,17,889
1130,M,18,7,60012,1,1,7,1994
1131,M,56,13,12570,1,6,13,544
1132,M,18,12,98225,1,1,12,3381
1133,M,18,2,90038,1,1,2,2758
1134,M,18,20,19114,1,1,20,725
1135,M,50,13,98201,1,5,13,3379
1136,F,35,7,90274,0,3,7,2785
1137,M,18,4,13165,1,1,4,577
1138,M,18,12,12047,1,1,12,518
1139,M,25,1,93420-2852,1,2,1,3011
1140,F,45,2,73069,0,4,2,2294
1141,F,25,3,84770,0,2,3,2629
1142,M,18,1,43623,1,1,1,1412
1143,M,50,7,94024,1,5,7,3035
1144,M,25,7,94025,1,2,7,3036
1145,M,50,3,92103,1,5,3,2912
1146,F,18,16,80260,0,1,16,2551
1147,M,25,20,98101,1,2,20,3350
1148,M,35,17,92618,1,3,17,2957
1149,M,25,12,98103,1,2,12,3352
1150,F,25,20,75226,0,2,20,2354
1151,M,25,15,46805,1,2,15,1558
1152,M,18,4,30328,1,1,4,1095
1153,M,18,10,33024,1,1,10,1182
1154,F,1,10,53545,0,0,10,1785
1155,M,25,12,90278,1,2,12,2787
1156,F,50,2,33334,0,5,2,1211
1157,M,45,7,30253,1,4,7,1083
1158,F,35,1,98026,0,3,1,3331
1159,M,18,0,48314,1,1,0,1639
1160,M,18,14,07017,1,1,14,304
1161,M,25,0,10025,1,2,0,418
1162,F,35,0,97213,0,3,0,3290
1163,M,1,10,70448,1,0,10,2254
1164,F,25,19,90020,0,2,19,2745
1165,M,25,12,45014,1,2,12,1475
1166,M,56,6,94030,1,6,6,3037
1167,F,50,1,55126,0,5,1,1872
1168,F,25,0,94109,0,2,0,3056
1169,M,25,20,94402,1,2,20,3081
1170,M,56,3,10023,1,6,3,416
1171,M,45,12,94114,1,4,12,3060
1172,F,25,0,61801,0,2,0,2111
1173,F,25,7,10019,0,2,7,412
1174,F,18,16,91780,0,1,16,2878
1175,F,25,2,90020,0,2,2,2745
1176,M,56,1,44256,1,6,1,1440
1177,F,25,17,01453,0,2,17,24
1178,M,56,0,48186,1,6,0,1621
1179,M,50,1,91030,1,5,1,2822
1180,F,50,20,95503,0,5,20,3205
1181,M,35,7,20716,1,3,7,805
1182,M,1,10,91326,1,0,10,2841
1183,M,35,19,94598,1,3,19,3115
1184,F,25,4,92354,0,2,4,2943
1185,F,35,1,97374,0,3,1,3310
1186,M,18,19,98502,1,1,19,3399
1187,F,1,0,90210,0,0,0,2771
1188,M,45,7,72212,1,4,7,2278
1189,M,25,0,85712,1,2,0,2674
1190,M,45,0,98031,1,4,0,3335
1191,F,35,0,98117,0,3,0,3362
1192,M,50,16,98103,1,5,16,3352
1193,M,25,12,90712,1,2,12,2808
1194,F,25,1,95617,0,2,1,3210
1195,F,1,10,13907,0,0,10,598
1196,F,18,14,22203,0,1,14,878
1197,M,35,1,44077,1,3,1,1419
1198,M,1,10,49544,1,0,10,1709
1199,M,50,13,77459,1,5,13,2430
1200,M,1,0,97222,1,0,0,3294
1201,M,18,4,84112-2004,1,1,4,2623
1202,M,35,12,97006,1,3,12,3267
1203,F,25,1,06417,0,2,1,278
1204,M,25,7,95076,1,2,7,3166
1205,F,56,0,46814,0,6,0,1560
1206,F,50,7,33764,0,5,7,1231
1207,M,50,0,43617,1,5,0,1411
1208,M,25,0,12590,1,2,0,546
1209,M,35,7,94127,1,3,7,3069
1210,M,25,17,27519,1,2,17,981
1211,M,18,4,10027,1,1,4,419
1212,F,50,1,60089,0,5,1,2017
1213,M,50,0,91505,1,5,0,2862
1214,M,56,13,94558,1,6,13,3104
1215,M,35,17,23602,1,3,17,937
1216,M,25,2,90292,1,2,2,2790
1217,M,25,12,94118,1,2,12,3064
1218,M,56,15,13207,1,6,15,579
1219,M,25,7,12206,1,2,7,531
1220,M,1,10,48073,1,0,10,1591
1221,M,18,0,19134,1,1,0,733
1222,M,35,0,52162,1,3,0,1745
1223,M,25,2,60102,1,2,2,2021
1224,M,50,13,02125,1,5,13,96
1225,M,45,7,61081,1,4,7,2099
1226,M,18,20,07087,1,1,20,314
1227,M,50,1,90027,1,5,1,2749
1228,M,25,1,94720,1,2,1,3134
1229,F,25,4,48219,0,2,4,1628
1230,M,25,11,95125,1,2,11,3174
1231,M,25,12,60515,1,2,12,2059
1232,F,18,4,43235,0,1,4,1397
1233,F,45,20,94519,0,4,20,3090
1234,M,18,4,91006,1,1,4,2819
1235,F,25,7,94043,0,2,7,3040
1236,F,25,1,48316,0,2,1,1641
1237,M,18,4,32720,1,1,4,1161
1238,F,35,20,11215,0,3,20,473
1239,F,25,20,50111,0,2,20,1721
1240,F,18,14,02144,0,1,14,109
1241,M,1,10,11803,1,0,10,515
1242,F,35,0,10014,0,3,0,408
1243,M,35,15,92627,1,3,15,2961
1244,M,25,4,22030,1,2,4,862
1245,M,25,17,80461,1,2,17,2559
1246,M,18,4,98225,1,1,4,3381
1247,M,35,0,92649,1,3,0,2967
1248,F,35,20,94598,0,3,20,3115
1249,M,35,2,94587,1,3,2,3113
1250,M,50,0,10573,1,5,0,444
1251,M,25,7,48188,1,2,7,1623
1252,M,56,13,94134,1,6,13,3073
1253,F,35,20,76205,0,3,20,2381
1254,F,18,1,02144,0,1,1,109
1255,M,25,17,94110,1,2,17,3057
1256,M,25,20,10002,1,2,20,399
1257,F,18,14,84101,0,1,14,2615
1258,M,45,7,20879,1,4,7,824
1259,M,35,7,2020010,1,3,7,798
1260,M,25,17,28262,1,2,17,1012
1261,M,18,4,40205,1,1,4,1346
1262,M,25,4,22903,1,2,4,904
1263,M,1,10,81301,1,0,10,2582
1264,M,25,1,53711,1,2,1,1794
1265,F,18,20,49321,0,1,20,1685
1266,M,25,4,18104,1,2,4,692
1267,M,25,15,12203,1,2,15,530
1268,M,50,2,10028,1,5,2,420
1269,F,56,13,01234,0,6,13,18
1270,M,25,6,12230,1,2,6,533
1271,F,45,6,54401,0,4,6,1809
1272,M,18,20,49506,1,1,20,1703
1273,M,35,2,19123,1,3,2,729
1274,M,45,7,37343,1,4,7,1293
1275,M,50,17,39567,1,5,17,1339
1276,M,35,17,94041,1,3,17,3039
1277,F,18,0,06360,0,1,0,274
1278,M,18,4,98312,1,1,4,3387
1279,M,35,1,98502,1,3,1,3399
1280,M,1,10,97801,1,0,10,3323
1281,M,25,19,97209,1,2,19,3286
1282,M,50,1,98541,1,5,1,3402
1283,F,18,1,94607,0,1,1,3118
1284,M,45,16,33334,1,4,16,1211
1285,M,35,4,98125,1,3,4,3367
1286,M,35,17,92630,1,3,17,2963
1287,F,50,7,94611,0,5,7,3122
1288,F,35,19,92867,0,3,19,2994
1289,M,45,6,78750,1,4,6,2497
1290,M,35,0,91504,1,3,0,2861
1291,F,35,0,10011,0,3,0,405
1292,M,25,7,94904,1,2,7,3139
1293,M,25,5,60074,1,2,5,2014
1294,F,50,20,11217,0,5,20,474
1295,F,35,6,90036,0,3,6,2757
1296,M,1,0,75244,1,0,0,2358
1297,M,25,7,92109,1,2,7,2918
1298,M,35,6,33615,1,3,6,1222
1299,M,25,14,02038,1,2,14,81
1300,M,1,10,97201,1,0,10,3281
1301,F,25,2,10475,0,2,2,438
1302,M,18,4,85282,1,1,4,2659
1303,M,25,19,94111,1,2,19,3058
1304,M,25,14,97203,1,2,14,3283
1305,M,45,20,94121,1,4,20,3066
1306,M,25,3,64068,1,2,3,2173
1307,M,56,13,75703,1,6,13,2365
1308,M,1,10,75082,1,0,10,2340
1309,M,25,14,76051,1,2,14,2373
1310,M,45,0,92866,1,4,0,2993
1311,M,18,10,90274,1,1,10,2785
1312,M,25,14,60153,1,2,14,2030
1313,M,18,4,43214,1,1,4,1389
1314,F,18,4,68154,0,1,4,2235
1315,M,35,7,75214,1,3,7,2352
1316,M,50,2,50310,1,5,2,1728
1317,M,45,7,98028,1,4,7,3333
1318,M,18,16,94014,1,1,16,3032
1319,F,25,3,98626,0,2,3,3406
1320,M,25,4,22030,1,2,4,862
1321,F,25,14,34639,0,2,14,1249
1322,M,56,0,94043,1,6,0,3040
1323,F,35,2,11218,0,3,2,475
1324,M,35,16,07030,1,3,16,307
1325,M,25,1,75230,1,2,1,2356
1326,F,25,0,98115,0,2,0,3360
1327,M,1,10,12159,1,0,10,525
1328,M,35,14,60657,1,3,14,2092
1329,M,18,14,60194,1,1,14,2039
1330,M,56,1,95117,1,6,1,3167
1331,M,45,0,12065,1,4,0,520
1332,M,25,7,02840,1,2,7,171
1333,M,25,17,06460,1,2,17,283
1334,M,50,7,10805,1,5,7,453
1335,M,35,0,14228,1,3,0,605
1336,F,50,20,95051,0,5,20,3163
1337,M,56,17,97146,1,6,17,3280
1338,M,25,0,94108,1,2,0,3055
1339,M,35,18,85275,1,3,18,2657
1340,M,25,7,14302,1,2,7,607
1341,M,18,7,11434,1,1,7,491
1342,M,35,0,94560,1,3,0,3106
1343,M,35,14,91324,1,3,14,2839
1344,F,25,9,43420,0,2,9,1402
1345,F,25,2,75070,0,2,2,2336
1346,M,35,20,27607,1,3,20,986
1347,F,18,1,11375,0,1,1,487
1348,F,1,10,04240,0,0,10,232
1349,M,50,7,13088,1,5,7,568
1350,F,35,0,90278,0,3,0,2787
1351,F,25,17,98034,0,2,17,3338
1352,M,35,20,94122,1,3,20,3067
1353,M,1,10,95926,1,0,10,3235
1354,F,25,2,94040,0,2,2,3038
1355,F,45,20,04240,0,4,20,232
1356,F,18,4,91706,0,1,4,2868
1357,M,45,0,34116,1,4,0,1241
1358,M,35,17,49508,1,3,17,1705
1359,M,35,1,10918,1,3,1,454
1360,M,25,20,14895,1,2,20,633
1361,F,25,0,97401,0,2,0,3312
1362,M,35,12,75069,1,3,12,2335
1363,M,50,7,01915,1,5,7,71
1364,F,45,2,97214,0,4,2,3291
1365,F,1,10,61665,0,0,10,2108
1366,M,1,10,89509,1,0,10,2736
1367,M,25,12,53707,1,2,12,1793
1368,F,25,3,50266,0,2,3,1726
1369,M,25,5,12308,1,2,5,535
1370,M,35,2,92821,1,3,2,2988
1371,F,50,2,60657,0,5,2,2092
1372,M,1,10,95123,1,0,10,3172
1373,F,25,1,55104,0,2,1,1851
1374,M,50,1,91403,1,5,1,2854
1375,F,45,5,95136,0,4,5,3179
1376,F,45,1,32750,0,4,1,1163
1377,M,35,16,65270,1,3,16,2194
1378,F,45,7,21044,0,4,7,838
1379,F,56,13,93448,0,6,13,3014
1380,M,1,10,58078,1,0,10,1974
1381,M,18,11,89170,1,1,11,2727
1382,F,45,1,92100,0,4,1,2910
1383,F,25,7,19806,0,2,7,768
1384,M,18,10,98058,1,1,10,3346
1385,F,25,5,90262,0,2,5,2782
1386,F,25,0,07026,0,2,0,305
