,Title,Genres,Title_enc,Genres_enc
940,"Adventures of Robin Hood, The (1938)",Action|Adventure,62,1
941,"Mark of Zorro, The (1940)",Adventure,2191,96
942,Laura (1944),Crime|Film-Noir|Mystery,1979,227
943,"Ghost and Mrs. Muir, The (1947)",Drama|Romance,1374,252
944,Lost Horizon (1937),Drama,2082,239
945,Top Hat (1935),Comedy|Musical|Romance,3557,202
946,To Be or Not to Be (1942),Comedy|Drama|War,3537,190
947,My Man Godfrey (1936),Comedy,2412,176
948,Giant (1956),Drama,1381,239
949,East of Eden (1955),Drama,1049,239
950,"Thin Man, The (1934)",Mystery,3476,285
951,His Girl Friday (1940),Comedy,1614,176
952,Around the World in 80 Days (1956),Adventure|Comedy,212,120
953,It's a Wonderful Life (1946),Drama,1800,239
954,Mr. Smith Goes to Washington (1939),Drama,2351,239
955,Bringing Up Baby (1938),Comedy,550,176
956,Penny Serenade (1941),Drama|Romance,2665,252
957,"Scarlet Letter, The (1926)",Drama,3038,239
958,Lady of Burlesque (1943),Comedy|Mystery,1948,203
959,Of Human Bondage (1934),Drama,2541,239
960,Angel on My Shoulder (1946),Crime|Drama,173,217
961,Little Lord Fauntleroy (1936),Drama,2036,239
962,They Made Me a Criminal (1939),Crime|Drama,3470,217
963,"Inspector General, The (1949)",Musical,1773,281
964,Angel and the Badman (1947),Western,172,300
965,"39 Steps, The (1935)",Thriller,24,298
966,"Walk in the Sun, A (1945)",Drama,3720,239
967,"Outlaw, The (1943)",Western,2608,300
968,Night of the Living Dead (1968),Horror|Sci-Fi,2483,278
969,"African Queen, The (1951)",Action|Adventure|Romance|War,68,32
970,Beat the Devil (1954),Comedy|Drama,325,185
971,Cat on a Hot Tin Roof (1958),Drama,638,239
972,"Last Time I Saw Paris, The (1954)",Drama,1974,239
973,Meet John Doe (1941),Drama,2235,239
974,Algiers (1938),Drama|Romance,95,252
975,Something to Sing About (1937),Comedy|Musical,3225,201
976,"Farewell to Arms, A (1932)",Romance|War,1165,292
977,Moonlight Murder (1936),Mystery,2328,285
978,"Blue Angel, The (Blaue Engel, Der) (1930)",Drama,462,239
979,Nothing Personal (1995),Drama|War,2521,262
980,In the Line of Duty 2 (1987),Action,1747,0
981,Dangerous Ground (1997),Drama,875,239
982,Picnic (1955),Drama,2699,239
983,Madagascar Skin (1995),Romance,2135,290
984,"Pompatus of Love, The (1996)",Comedy|Drama,2746,185
985,Small Wonders (1996),Documentary,3188,235
986,Fly Away Home (1996),Adventure|Children's,1243,106
987,Bliss (1997),Drama|Romance,444,252
988,Grace of My Heart (1996),Comedy|Drama,1447,185
989,Schlafes Bruder (Brother of Sleep) (1995),Drama,3044,239
990,Maximum Risk (1996),Action|Adventure|Thriller,2220,37
991,Michael Collins (1996),Drama|War,2262,262
992,"Rich Man's Wife, The (1996)",Thriller,2924,298
993,Infinity (1996),Drama,1763,239
994,Big Night (1996),Drama,400,239
996,Last Man Standing (1996),Action|Drama|Western,1965,74
997,Caught (1996),Drama|Thriller,643,260
998,Set It Off (1996),Action|Crime,3077,56
999,2 Days in the Valley (1996),Crime,12,216
1000,Curdled (1996),Crime,849,216
1001,"Associate, The (L'Associe)(1982)",Comedy,227,176
1002,Ed's Next Move (1996),Comedy,1059,176
1003,Extreme Measures (1996),Drama|Thriller,1125,260
1004,"Glimmer Man, The (1996)",Action|Thriller,1397,92
1005,D3: The Mighty Ducks (1996),Children's|Comedy,861,160
1006,"Chamber, The (1996)",Drama,662,239
1007,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western,201,166
1008,"Davy Crockett, King of the Wild Frontier (1955)",Western,888,300
1009,Escape to Witch Mountain (1975),Adventure|Children's|Fantasy,1100,115
1010,"Love Bug, The (1969)",Children's|Comedy,2092,160
1011,Herbie Rides Again (1974),Adventure|Children's|Comedy,1591,107
1012,Old Yeller (1957),Children's|Drama,2550,167
1013,"Parent Trap, The (1961)",Children's|Drama,2636,167
1014,Pollyanna (1960),Children's|Comedy|Drama,2742,161
1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children's,1633,106
1016,"Shaggy Dog, The (1959)",Children's|Comedy,3102,160
1017,Swiss Family Robinson (1960),Adventure|Children's,3401,106
1018,That Darn Cat! (1965),Children's|Comedy|Mystery,3459,164
1019,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,14,116
1020,Cool Runnings (1993),Comedy,790,176
1021,Angels in the Outfield (1994),Children's|Comedy,177,160
1022,Cinderella (1950),Animation|Children's|Musical,704,152
1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children's,3818,144
1024,"Three Caballeros, The (1945)",Animation|Children's|Musical,3498,152
1025,"Sword in the Stone, The (1963)",Animation|Children's,3404,144
1026,So Dear to My Heart (1949),Children's|Drama,3203,167
1027,Robin Hood: Prince of Thieves (1991),Drama,2947,239
1028,Mary Poppins (1964),Children's|Comedy|Musical,2199,163
1029,Dumbo (1941),Animation|Children's|Musical,1037,152
1030,Pete's Dragon (1977),Adventure|Animation|Children's|Musical,2679,101
1031,Bedknobs and Broomsticks (1971),Adventure|Children's|Musical,335,117
1032,Alice in Wonderland (1951),Animation|Children's|Musical,97,152
1033,"Fox and the Hound, The (1981)",Animation|Children's,1278,144
1034,Freeway (1996),Crime,1293,216
1035,"Sound of Music, The (1965)",Musical,3243,281
1036,Die Hard (1988),Action|Thriller,963,92
1037,"Lawnmower Man, The (1992)",Action|Sci-Fi|Thriller,1983,87
1038,Unhook the Stars (1996),Drama,3662,239
1039,Synthetic Pleasures (1995),Documentary,3406,235
1040,"Secret Agent, The (1996)",Drama,3064,239
1041,Secrets & Lies (1996),Drama,3068,239
1042,That Thing You Do! (1996),Comedy,3462,176
1043,To Gillian on Her 37th Birthday (1996),Drama|Romance,3541,252
1044,Surviving Picasso (1996),Drama,3387,239
1045,Love Is All There Is (1996),Comedy|Drama,2093,185
1046,Beautiful Thing (1996),Drama|Romance,330,252
1047,"Long Kiss Goodnight, The (1996)",Action|Thriller,2067,92
1049,"Ghost and the Darkness, The (1996)",Action|Adventure,1375,1
1050,Looking for Richard (1996),Documentary|Drama,2070,236
1051,Trees Lounge (1996),Drama,3585,239
1052,"Proprietor, The (1996)",Drama,2807,239
1053,Normal Life (1996),Crime|Drama,2512,217
1054,Get on the Bus (1996),Drama,1368,239
1055,Shadow Conspiracy (1997),Thriller,3090,298
1056,Jude (1996),Drama,1852,239
1057,Everyone Says I Love You (1996),Comedy|Musical|Romance,1111,202
1058,Bitter Sugar (Azucar Amargo) (1996),Drama,418,239
1059,William Shakespeare's Romeo and Juliet (1996),Drama|Romance,3808,252
1060,Swingers (1996),Comedy|Drama,3400,185
1061,Sleepers (1996),Crime|Drama,3170,217
1062,"Sunchaser, The (1996)",Drama,3371,239
1063,Johns (1996),Drama,1846,239
1064,Aladdin and the King of Thieves (1996),Animation|Children's|Comedy,90,145
1065,"Woman in Question, The (1950)",Mystery,3834,285
1066,Shall We Dance? (1937),Comedy|Musical|Romance,3105,202
1067,"Damsel in Distress, A (1937)",Comedy|Musical|Romance,866,202
1068,Crossfire (1947),Crime|Film-Noir,830,226
1069,"Murder, My Sweet (1944)",Film-Noir|Thriller,2380,273
1070,Macao (1952),Adventure,2126,96
1071,For the Moment (1994),Romance|War,1264,292
1073,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,3810,108
1075,"Sexual Life of the Belgians, The (1994)",Comedy,3088,176
1076,"Innocents, The (1961)",Thriller,1768,298
1077,Sleeper (1973),Comedy|Sci-Fi,3169,211
1078,Bananas (1971),Comedy|War,286,214
1079,"Fish Called Wanda, A (1988)",Comedy,1218,176
1080,Monty Python's Life of Brian (1979),Comedy,2326,176
1081,Victor/Victoria (1982),Comedy|Musical,3698,201
1082,"Candidate, The (1972)",Drama,606,239
1083,"Great Race, The (1965)",Comedy|Musical,1469,201
1084,Bonnie and Clyde (1967),Crime|Drama,489,217
1085,"Old Man and the Sea, The (1958)",Adventure|Drama,2549,126
1086,Dial M for Murder (1954),Mystery|Thriller,959,289
1087,Madame Butterfly (1995),Musical,2136,281
1088,Dirty Dancing (1987),Musical|Romance,974,282
1089,Reservoir Dogs (1992),Crime|Thriller,2908,234
1090,Platoon (1986),Drama|War,2715,262
1091,Weekend at Bernie's (1989),Comedy,3749,176
1092,Basic Instinct (1992),Mystery|Thriller,301,289
1093,"Doors, The (1991)",Drama|Musical,996,246
1094,"Crying Game, The (1992)",Drama|Romance|War,845,255
1095,Glengarry Glen Ross (1992),Drama,1396,239
1096,Sophie's Choice (1982),Drama,3238,239
1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,1043,169
1098,"Search for One-eye Jimmy, The (1996)",Comedy,3057,176
1099,"Christmas Carol, A (1938)",Drama,695,239
1100,Days of Thunder (1990),Action|Romance,894,82
1101,Top Gun (1986),Action|Romance,3556,82
1102,American Strays (1996),Action,141,0
1103,Rebel Without a Cause (1955),Drama,2876,239
1104,"Streetcar Named Desire, A (1951)",Drama,3349,239
1105,Children of the Corn IV: The Gathering (1996),Horror,686,274
1106,"Leopard Son, The (1996)",Documentary,1997,235
1107,Loser (1991),Comedy,2075,176
1108,Prerokbe Ognja (1995),Documentary,2770,235
1109,Charm's Incidents (1996),Drama,671,239
1110,Bird of Prey (1996),Action,412,0
1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,2264,235
1112,Palookaville (1996),Action|Drama,2624,64
1113,"Associate, The (1996)",Comedy,226,176
1114,"Funeral, The (1996)",Drama,1328,239
1115,Sleepover (1995),Comedy|Drama,3173,185
1116,"Single Girl, A (La Fille Seule) (1995)",Drama,3146,239
1117,"Eighth Day, The (Le Huitième jour ) (1996)",Drama,1068,239
1118,Tashunga (1995),Adventure|Western,3433,142
1119,Drunks (1997),Drama,1030,239
1120,"People vs. Larry Flynt, The (1996)",Drama,2666,239
1121,Glory Daze (1996),Drama,1400,239
1122,Plutonium Circus (1995),Documentary,2725,235
1123,"Perfect Candidate, A (1996)",Documentary,2669,235
1124,On Golden Pond (1981),Drama,2557,239
1125,"Return of the Pink Panther, The (1974)",Comedy,2917,176
1126,Drop Dead Fred (1991),Comedy|Fantasy,1024,192
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,43,34
1128,"Fog, The (1980)",Horror,1249,274
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,1098,34
1130,"Howling, The (1980)",Horror,1677,274
1131,Jean de Florette (1986),Drama,1826,239
1132,Manon of the Spring (Manon des sources) (1986),Drama,2181,239
1133,Talking About Sex (1994),Comedy|Drama,3419,185
1134,Johnny 100 Pesos (1993),Action|Drama,1844,64
1135,Private Benjamin (1980),Comedy,2789,176
1136,Monty Python and the Holy Grail (1974),Comedy,2325,176
1137,Hustler White (1996),Romance,1691,290
1138,Dadetown (1995),Documentary,863,235
1139,Everything Relative (1996),Drama,1112,239
1140,Entertaining Angels: The Dorothy Day Story (1996),Drama,1092,239
1141,Hoogste tijd (1995),Drama,1639,239
1142,Get Over It (1996),Drama,1365,239
1143,Three Lives and Only One Death (1996),Comedy,3504,176
1144,"Line King: Al Hirschfeld, The (1996)",Documentary,2027,235
1145,Snowriders (1996),Documentary,3201,235
1146,Curtis's Charm (1995),Comedy|Drama,853,185
1147,When We Were Kings (1996),Documentary,3773,235
1148,"Wrong Trousers, The (1993)",Animation|Comedy,3851,154
1149,JLG/JLG - autoportrait de décembre (1994),Documentary|Drama,1803,236
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,2915,239
1151,Faust (1994),Animation|Comedy|Thriller,1179,155
1152,He Walked by Night (1948),Crime|Film-Noir|Thriller,1552,229
1153,Raw Deal (1948),Film-Noir,2864,266
1154,T-Men (1947),Film-Noir,3407,266
1155,"Invitation, The (Zaproszenie) (1986)",Drama,1782,239
1156,"Children Are Watching us, The (Bambini ci guardano, I) (1942)",Drama,679,239
1157,"Symphonie pastorale, La (1946)",Drama,3405,239
1158,Here Comes Cookie (1935),Comedy,1593,176
1159,Love in Bloom (1935),Romance,2106,290
1160,Six of a Kind (1934),Comedy,3155,176
1161,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama,3529,239
1162,"Ruling Class, The (1972)",Comedy,2992,176
1163,Mina Tannenbaum (1994),Drama,2286,239
1164,Two or Three Things I Know About Her (1966),Drama,3639,239
1165,"Bloody Child, The (1996)",Drama|Thriller,458,260
1166,Farmer & Chase (1995),Comedy,1168,176
1167,Dear God (1996),Comedy,910,176
1168,Bad Moon (1996),Horror,274,274
1169,American Dream (1990),Documentary,130,235
1170,Best of the Best 3: No Turning Back (1995),Action,367,0
1171,Bob Roberts (1992),Comedy,476,176
1172,Cinema Paradiso (1988),Comedy|Drama|Romance,705,187
1173,"Cook the Thief His Wife & Her Lover, The (1989)",Drama,786,239
1174,Grosse Fatigue (1994),Comedy,1480,176
1175,Delicatessen (1991),Comedy|Sci-Fi,932,211
1176,"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",Drama,1001,239
1177,Enchanted April (1991),Drama,1078,239
1178,Paths of Glory (1957),Drama|War,2649,262
1179,"Grifters, The (1990)",Crime|Drama|Film-Noir,1478,218
1180,Hear My Song (1991),Comedy,1556,176
1181,"Shooter, The (1995)",Action,3124,0
1183,"English Patient, The (1996)",Drama|Romance|War,1089,255
1184,Mediterraneo (1991),Comedy|War,2233,214
1185,My Left Foot (1989),Drama,2406,239
1186,"Sex, Lies, and Videotape (1989)",Drama,3087,239
1187,Passion Fish (1992),Drama,2644,239
1188,Strictly Ballroom (1992),Comedy|Romance,3350,207
1189,"Thin Blue Line, The (1988)",Documentary,3474,235
1190,Tie Me Up! Tie Me Down! (1990),Drama,3515,239
1191,Madonna: Truth or Dare (1991),Documentary,2141,235
1192,Paris Is Burning (1990),Documentary,2639,235
1193,One Flew Over the Cuckoo's Nest (1975),Drama,2571,239
1194,Up in Smoke (1978),Comedy,3672,176
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,3306,21
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,2785,13
1198,Raiders of the Lost Ark (1981),Action|Adventure,2845,1
1199,Brazil (1985),Sci-Fi,526,294
1200,Aliens (1986),Action|Sci-Fi|Thriller|War,102,88
1201,"Good, The Bad and The Ugly, The (1966)",Action|Western,1434,95
1202,Withnail and I (1987),Comedy,3828,176
1203,12 Angry Men (1957),Drama,9,239
1204,Lawrence of Arabia (1962),Adventure|War,1984,141
1205,"Transformers: The Movie, The (1986)",Action|Animation|Children's|Sci-Fi|Thriller|War,3582,40
1206,"Clockwork Orange, A (1971)",Sci-Fi,736,294
1207,To Kill a Mockingbird (1962),Drama,3543,239
1208,Apocalypse Now (1979),Drama|War,197,262
1209,Once Upon a Time in the West (1969),Western,2565,300
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,3307,30
1211,Wings of Desire (Der Himmel über Berlin) (1987),Comedy|Drama|Romance,3816,187
1212,"Third Man, The (1949)",Mystery|Thriller,3483,289
1213,GoodFellas (1990),Crime|Drama,1435,217
1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,98,77
1215,Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi,211,12
1216,"Big Blue, The (Le Grand Bleu) (1988)",Adventure|Romance,387,136
1217,Ran (1985),Drama|War,2857,262
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Thriller,1903,92
1219,Psycho (1960),Horror|Thriller,2808,280
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,474,49
1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,1408,57
1222,Full Metal Jacket (1987),Action|Drama|War,1323,73
1223,"Grand Day Out, A (1992)",Animation|Comedy,1450,154
1224,Henry V (1989),Drama|War,1586,262
1225,Amadeus (1984),Drama,125,239
1226,"Quiet Man, The (1952)",Comedy|Romance,2837,207
1227,Once Upon a Time in America (1984),Crime|Drama|Thriller,2564,225
1228,Raging Bull (1980),Drama,2844,239
1230,Annie Hall (1977),Comedy|Romance,185,207
1231,"Right Stuff, The (1983)",Drama,2931,239
1232,Stalker (1979),Mystery|Sci-Fi,3287,287
1233,"Boat, The (Das Boot) (1981)",Action|Drama|War,475,73
1234,"Sting, The (1973)",Comedy|Crime,3331,177
1235,Harold and Maude (1971),Comedy,1539,176
1236,Trust (1990),Comedy|Drama,3607,185
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,3085,239
1238,Local Hero (1983),Comedy,2057,176
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,3450,87
1241,Braindead (1992),Comedy|Horror,521,196
1242,Glory (1989),Action|Drama|War,1399,73
1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,2978,185
1244,Manhattan (1979),Comedy|Drama|Romance,2178,187
1245,Miller's Crossing (1990),Drama,2284,239
1246,Dead Poets Society (1989),Drama,903,239
1247,"Graduate, The (1967)",Drama|Romance,1448,252
1248,Touch of Evil (1958),Crime|Film-Noir|Thriller,3566,229
1249,Nikita (La Femme Nikita) (1990),Thriller,2496,298
1250,"Bridge on the River Kwai, The (1957)",Drama|War,544,262
1251,8 1/2 (1963),Drama,30,239
1252,Chinatown (1974),Film-Noir|Mystery|Thriller,690,269
1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,890,258
1254,"Treasure of the Sierra Madre, The (1948)",Adventure,3584,96
1255,Bad Taste (1987),Comedy|Horror,276,196
1256,Duck Soup (1933),Comedy|War,1032,214
1257,Better Off Dead... (1985),Comedy,371,176
1258,"Shining, The (1980)",Horror,3123,274
1259,Stand by Me (1986),Adventure|Comedy|Drama,3289,121
1260,M (1931),Crime|Film-Noir|Thriller,2121,229
1261,Evil Dead II (Dead By Dawn) (1987),Action|Adventure|Comedy|Horror,1114,11
1262,"Great Escape, The (1963)",Adventure|War,1464,141
1263,"Deer Hunter, The (1978)",Drama|War,929,262
1264,Diva (1981),Action|Drama|Mystery|Romance|Thriller,980,67
1265,Groundhog Day (1993),Comedy|Romance,1482,207
1266,Unforgiven (1992),Western,3660,300
1267,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,2177,273
1268,Pump Up the Volume (1990),Drama,2815,239
1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,214,206
1270,Back to the Future (1985),Comedy|Sci-Fi,265,211
1271,Fried Green Tomatoes (1991),Drama,1309,239
1272,Patton (1970),Drama|War,2652,262
1273,Down by Law (1986),Comedy|Drama,1005,185
1274,Akira (1988),Adventure|Animation|Sci-Fi|Thriller,88,105
1275,Highlander (1986),Action|Adventure,1608,1
1276,Cool Hand Luke (1967),Comedy|Drama,789,185
1277,Cyrano de Bergerac (1990),Action|Drama|Romance,858,68
1278,Young Frankenstein (1974),Comedy|Horror,3869,196
1279,Night on Earth (1991),Comedy|Drama,2484,185
1280,Raise the Red Lantern (1991),Drama,2851,239
1281,"Great Dictator, The (1940)",Comedy,1463,176
1282,Fantasia (1940),Animation|Children's|Musical,1155,152
1283,High Noon (1952),Western,1604,300
1284,"Big Sleep, The (1946)",Film-Noir|Mystery,402,268
1285,Heathers (1989),Comedy,1563,176
1286,Somewhere in Time (1980),Drama|Romance,3227,252
1287,Ben-Hur (1959),Action|Adventure|Drama,354,19
1288,This Is Spinal Tap (1984),Comedy|Drama|Musical,3489,186
1289,Koyaanisqatsi (1983),Documentary|War,1934,238
1290,Some Kind of Wonderful (1987),Drama|Romance,3216,252
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,1759,1
1292,Being There (1979),Comedy,345,176
1293,Gandhi (1982),Drama,1341,239
1294,M*A*S*H (1970),Comedy|War,2122,214
1295,"Unbearable Lightness of Being, The (1988)",Drama,3648,239
1296,"Room with a View, A (1986)",Drama|Romance,2973,252
1297,Real Genius (1985),Comedy,2872,176
1298,Pink Floyd - The Wall (1982),Drama|Musical|War,2706,247
1299,"Killing Fields, The (1984)",Drama|War,1905,262
1300,My Life as a Dog (Mitt liv som hund) (1985),Drama,2410,239
1301,Forbidden Planet (1956),Sci-Fi,1266,294
1302,Field of Dreams (1989),Drama,1195,239
1303,"Man Who Would Be King, The (1975)",Adventure,2161,96
1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,588,55
1305,"Paris, Texas (1984)",Drama,2642,239
1306,Until the End of the World (Bis ans Ende der Welt) (1991),Drama|Sci-Fi,3667,258
1307,When Harry Met Sally... (1989),Comedy|Romance,3771,207
1308,I Shot a Man in Vegas (1995),Comedy,1708,176
1309,Parallel Sons (1995),Drama|Romance,2633,252
1310,Hype! (1996),Documentary,1693,235
1311,Santa with Muscles (1996),Comedy,3027,176
1312,Female Perversions (1996),Drama,1191,239
1313,Mad Dog Time (1996),Crime,2130,216
1314,Breathing Room (1996),Romance,536,290
1315,Paris Was a Woman (1995),Documentary,2640,235
1316,Anna (1996),Drama,181,239
1317,I'm Not Rappaport (1996),Comedy,1716,176
1318,Blue Juice (1995),Comedy|Drama,466,185
1319,Kids of Survival (1993),Documentary,1896,235
1320,Alien³ (1992),Action|Horror|Sci-Fi|Thriller,103,77
1321,"American Werewolf in London, An (1981)",Horror,144,274
1322,Amityville 1992: It's About Time (1992),Horror,148,274
1323,Amityville 3-D (1983),Horror,149,274
1324,Amityville: Dollhouse (1996),Horror,154,274
1325,Amityville: A New Generation (1993),Horror,153,274
1326,Amityville II: The Possession (1982),Horror,152,274
1327,"Amityville Horror, The (1979)",Horror,151,274
1328,"Amityville Curse, The (1990)",Horror,150,274
1329,Blood For Dracula (Andy Warhol's Dracula) (1974),Horror,449,274
1330,April Fool's Day (1986),Comedy|Horror,203,196
1331,Audrey Rose (1977),Horror,233,274
1332,"Believers, The (1987)",Horror|Thriller,346,280
1333,"Birds, The (1963)",Horror,415,274
1334,"Blob, The (1958)",Horror|Sci-Fi,445,278
1335,Blood Beach (1981),Action|Horror,447,75
1336,Body Parts (1991),Horror,478,274
1337,"Body Snatcher, The (1945)",Horror,480,274
1339,Bram Stoker's Dracula (1992),Horror|Romance,522,277
1340,Bride of Frankenstein (1935),Horror,540,274
1341,Burnt Offerings (1976),Horror,584,274
1342,Candyman (1992),Horror,608,274
1343,Cape Fear (1991),Thriller,611,298
1344,Cape Fear (1962),Film-Noir|Thriller,610,273
1345,Carrie (1976),Horror,625,274
1346,Cat People (1982),Horror,636,274
1347,"Nightmare on Elm Street, A (1984)",Horror,2492,274
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,2516,274
1349,Nosferatu a Venezia (1986),Horror,2517,274
1350,"Omen, The (1976)",Horror,2555,274
1351,Blood & Wine (1997),Drama,446,239
1352,Albino Alligator (1996),Crime|Thriller,94,234
1353,"Mirror Has Two Faces, The (1996)",Comedy|Romance,2292,207
1354,Breaking the Waves (1996),Drama,534,239
1355,Nightwatch (1997),Horror|Thriller,2495,280
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi,3299,33
1357,Shine (1996),Drama|Romance,3122,252
1358,Sling Blade (1996),Drama|Thriller,3177,260
1359,Jingle All the Way (1996),Adventure|Children's|Comedy,1840,107
1360,Identification of a Woman (Identificazione di una donna) (1982),Drama,1722,239
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,2631,235
1362,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Drama,1345,239
1363,"Preacher's Wife, The (1996)",Drama,2766,239
1364,Zero Kelvin (Kjærlighetens kjøtere) (1995),Action,3879,0
1365,Ridicule (1996),Drama,2930,239
1366,"Crucible, The (1996)",Drama,837,239
1367,101 Dalmatians (1996),Children's|Comedy,8,160
1368,"Forbidden Christ, The (Cristo proibito, Il) (1950)",Drama,1265,239
1369,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller,1695,260
1370,Die Hard 2 (1990),Action|Thriller,964,92
1371,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,3302,33
1372,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi,3298,33
1373,Star Trek V: The Final Frontier (1989),Action|Adventure|Sci-Fi,3297,33
1374,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,3303,33
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,3295,33
1376,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,3296,33
1377,Batman Returns (1992),Action|Adventure|Comedy|Crime,310,10
1378,Young Guns (1988),Action|Comedy|Western,3870,55
1379,Young Guns II (1990),Action|Comedy|Western,3871,55
1380,Grease (1978),Comedy|Musical|Romance,1459,202
1381,Grease 2 (1982),Comedy|Musical|Romance,1460,202
1382,Marked for Death (1990),Action|Drama,2192,64
1383,Adrenalin: Fear the Rush (1996),Action|Sci-Fi,55,86
1384,"Substance of Fire, The (1996)",Drama,3359,239
1385,Under Siege (1992),Action,3651,0
1386,Terror in a Texas Town (1958),Western,3452,300
1387,Jaws (1975),Action|Horror,1823,75
1388,Jaws 2 (1978),Action|Horror,1824,75
1389,Jaws 3-D (1983),Action|Horror,1825,75
1390,My Fellow Americans (1996),Comedy,2404,176
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,2196,53
1392,Citizen Ruth (1996),Comedy|Drama,710,185
1393,Jerry Maguire (1996),Drama|Romance,1835,252
1394,Raising Arizona (1987),Comedy,2854,176
1395,Tin Men (1987),Comedy|Drama,3530,185
1396,Sneakers (1992),Crime|Drama|Sci-Fi,3197,224
1397,Bastard Out of Carolina (1996),Drama,304,239
1398,In Love and War (1996),Romance|War,1739,292
1399,Marvin's Room (1996),Drama,2198,239
1400,Somebody is Waiting (1996),Drama,3219,239
1401,Ghosts of Mississippi (1996),Drama,1380,239
1404,Night Falls on Manhattan (1997),Crime|Drama,2474,217
1405,Beavis and Butt-head Do America (1996),Animation|Comedy,333,154
1406,"Cérémonie, La (1995)",Drama,859,239
1407,Scream (1996),Horror|Thriller,3049,280
1408,"Last of the Mohicans, The (1992)",Action|Romance|War,1976,85
1409,Michael (1996),Comedy|Romance,2261,207
1410,"Evening Star, The (1996)",Comedy|Drama,1106,185
1411,Hamlet (1996),Drama,1514,239
1412,Some Mother's Son (1996),Drama,3218,239
1413,"Whole Wide World, The (1996)",Drama,3795,239
1414,Mother (1996),Comedy,2337,176
1415,"Thieves (Voleurs, Les) (1996)",Crime|Drama|Romance,3473,222
1416,Evita (1996),Drama|Musical,1115,246
1417,"Portrait of a Lady, The (1996)",Drama,2754,239
1419,Walkabout (1971),Drama,3722,239
1420,Message to Love: The Isle of Wight Festival (1996),Documentary,2252,235
1421,Grateful Dead (1995),Documentary,1457,235
1422,Murder at 1600 (1997),Mystery|Thriller,2377,289
1423,Hearts and Minds (1996),Drama,1561,239
1424,Inside (1996),Action,1769,0
1425,Fierce Creatures (1997),Comedy,1197,176
1426,Zeus and Roxanne (1997),Children's,3880,159
1427,Turbulence (1997),Thriller,3612,298
1428,Angel Baby (1995),Drama,170,239
1429,Jackie Chan's First Strike (1996),Action,1809,0
1430,Underworld (1997),Thriller,3658,298
1431,Beverly Hills Ninja (1997),Action|Comedy,375,43
1432,Metro (1997),Action,2256,0
1433,"Machine, The (1994)",Comedy|Horror,2127,196
1434,"Stranger, The (1994)",Action,3345,0
1436,Falling in Love Again (1980),Comedy,1149,176
1437,"Cement Garden, The (1993)",Drama,653,239
1438,Dante's Peak (1997),Action|Thriller,878,92
1439,Meet Wally Sparks (1997),Comedy,2237,176
1440,Amos & Andrew (1993),Comedy,156,176
1441,Benny & Joon (1993),Comedy|Romance,358,207
1442,Prefontaine (1997),Drama,2769,239
1443,"Tickle in the Heart, A (1996)",Documentary,3514,235
